@relation input_channel_1

@attribute channel_1_0 numeric
@attribute channel_1_1 numeric
@attribute channel_1_2 numeric
@attribute channel_1_3 numeric
@attribute channel_1_4 numeric
@attribute channel_1_5 numeric
@attribute channel_1_6 numeric
@attribute channel_1_7 numeric
@attribute class {0,1,2,3,4,5,6,7,8,9}

@data
100,99,66,33,0,12,39,44,7
69,54,37,0,13,54,92,100,5
100,62,38,43,57,78,39,0,4
84,100,83,60,47,23,5,0,3
75,85,100,80,59,37,15,0,1
60,77,99,100,75,50,24,0,1
100,83,57,28,0,6,24,24,6
99,100,65,73,90,48,13,0,9
56,14,0,25,66,100,80,45,0
88,100,81,48,23,6,0,1,2
50,16,0,8,46,84,100,84,0
76,100,72,38,19,33,18,0,2
78,100,72,35,0,29,59,88,8
87,62,0,0,44,100,93,36,0
71,100,69,34,12,8,6,0,2
100,85,58,28,0,1,20,12,6
100,81,52,21,0,9,30,22,6
58,67,83,100,98,66,34,0,1
82,100,72,35,0,22,48,52,7
66,100,96,67,72,73,36,0,9
76,100,69,40,16,11,10,0,2
76,100,66,25,3,7,6,0,2
100,70,39,20,21,43,30,0,4
100,66,49,0,16,72,94,94,5
82,100,90,66,40,12,3,0,3
100,82,55,63,99,81,40,0,4
82,100,80,50,22,2,1,0,2
81,100,65,31,5,18,0,4,2
100,97,66,33,0,26,61,93,8
85,46,47,0,13,66,98,100,5
96,45,0,1,48,100,99,52,0
98,95,60,29,0,35,69,100,8
78,100,81,57,55,22,0,16,3
86,51,11,0,39,83,100,69,0
100,94,65,33,0,20,31,32,7
98,100,72,54,34,9,0,7,3
100,76,48,20,0,10,31,25,6
78,100,99,53,12,0,45,55,7
78,100,60,27,2,4,2,0,2
36,56,78,100,76,51,25,0,1
100,85,62,50,54,77,38,0,4
86,62,20,0,31,73,100,78,0
98,100,100,87,64,43,22,0,7
99,100,91,57,0,13,28,23,7
100,77,49,20,0,17,27,7,6
77,100,59,13,0,37,83,88,0
83,100,93,67,42,20,1,0,3
66,100,73,34,0,24,58,77,8
100,85,57,27,0,7,29,23,6
100,86,66,41,12,0,18,25,6
83,48,9,0,23,63,97,100,0
76,40,2,0,35,67,100,81,8
79,100,68,37,19,31,24,0,2
75,100,82,53,44,17,0,9,3
86,100,86,64,46,22,0,5,3
97,100,73,87,95,63,30,0,9
89,55,30,0,23,66,94,100,5
71,81,99,100,75,50,26,0,1
100,83,44,0,2,40,88,98,0
60,100,99,75,87,44,6,0,9
100,77,48,17,0,13,37,29,6
61,100,76,31,0,6,5,8,1
100,82,55,25,0,7,30,19,6
83,100,77,50,44,16,0,3,3
99,100,96,55,15,0,40,37,7
83,100,58,17,0,33,61,92,8
72,95,100,74,49,23,0,0,1
63,100,84,45,10,5,3,0,2
81,96,100,88,54,40,6,0,5
77,62,100,87,63,55,11,0,9
72,100,58,17,0,17,10,3,2
76,100,98,72,54,30,5,0,3
100,72,44,28,45,55,27,0,4
96,98,100,83,62,39,17,0,7
92,100,79,37,0,22,41,46,7
93,78,36,0,33,65,100,78,8
100,76,51,28,27,49,25,0,4
82,100,84,51,43,10,0,6,3
74,77,100,84,59,71,35,0,9
98,100,88,42,0,14,41,42,7
100,73,39,3,0,38,74,95,8
97,100,88,48,47,25,0,2,5
89,45,5,0,20,61,100,98,0
86,100,96,66,40,9,0,22,3
74,32,0,14,64,100,78,34,0
60,100,90,49,8,0,34,55,8
100,81,52,38,42,60,31,0,4
99,100,96,59,16,0,39,50,7
100,78,40,0,0,33,50,28,6
100,66,40,12,0,46,84,92,5
80,100,82,53,28,6,2,0,2
79,94,100,88,62,39,18,0,2
100,64,31,31,59,85,42,0,4
81,100,66,18,0,33,80,92,0
89,100,82,61,37,11,0,5,3
88,58,13,0,33,77,100,81,0
84,100,74,37,0,20,33,32,7
79,100,79,60,39,10,0,14,3
90,100,85,62,47,23,8,0,3
97,76,46,59,100,83,41,0,4
85,100,94,72,43,27,2,0,5
95,100,95,71,45,33,7,0,5
94,100,82,47,10,0,23,26,7
95,100,86,49,15,0,32,41,7
100,94,64,37,41,57,28,0,4
94,100,96,81,50,19,0,12,5
97,62,13,0,26,72,100,92,0
100,98,81,99,84,48,16,0,9
65,82,100,90,65,39,14,0,1
96,100,93,73,60,46,17,0,5
72,100,71,35,7,4,0,6,2
100,81,55,28,0,4,31,25,6
72,100,89,60,35,7,0,11,3
64,81,100,84,62,40,17,0,1
91,100,66,34,6,11,10,0,2
82,98,100,90,69,42,13,0,5
100,86,74,95,70,41,15,0,9
82,100,78,87,68,40,14,0,9
76,100,97,50,4,0,40,79,8
71,100,75,35,0,17,45,70,8
100,70,37,36,50,68,34,0,4
87,100,90,45,0,10,33,37,7
95,100,74,43,6,0,29,39,6
69,100,85,77,52,15,0,0,9
44,2,14,60,100,85,49,0,0
100,77,47,16,0,16,23,9,6
81,54,63,95,100,64,29,0,9
64,45,65,100,99,62,23,0,9
89,100,80,39,0,15,37,44,7
100,73,45,15,0,18,38,28,6
77,100,69,27,0,15,58,89,0
82,100,99,43,5,0,4,0,2
100,64,8,0,46,96,79,25,0
67,100,85,49,20,0,1,0,2
89,100,93,79,55,29,0,11,5
100,94,70,45,18,0,16,24,6
98,100,87,48,8,0,24,26,7
100,82,52,18,0,21,32,10,6
92,64,30,0,22,61,97,100,5
85,49,11,0,30,67,100,96,0
85,61,22,0,11,51,87,100,0
54,16,0,17,54,93,100,65,0
46,75,100,80,53,54,33,0,9
97,70,42,0,20,60,98,100,5
96,100,74,38,0,16,45,34,7
100,76,36,35,62,96,45,0,4
77,100,99,67,56,28,2,0,3
75,100,91,59,31,8,5,0,2
57,83,100,64,28,0,2,3,1
64,80,100,87,65,43,22,0,1
87,47,54,7,0,50,91,100,5
72,100,94,63,34,9,0,1,2
90,100,98,76,56,34,12,0,3
79,55,10,0,36,69,100,83,8
95,100,98,61,61,20,2,0,5
12,48,87,100,65,35,0,11,8
95,100,86,45,5,0,34,33,7
97,69,20,0,23,70,100,84,0
89,100,80,37,0,5,32,38,7
86,58,63,21,0,55,93,100,5
100,68,65,24,0,45,92,99,5
70,35,0,10,42,71,100,81,8
75,85,100,81,61,41,20,0,1
100,80,54,59,99,77,38,0,4
100,79,51,47,38,49,35,0,4
68,100,78,42,9,0,41,73,8
86,100,92,67,44,23,2,0,2
94,96,100,60,52,24,0,8,5
79,100,81,40,0,24,45,50,7
74,95,100,73,46,18,0,0,1
100,82,52,51,78,56,27,0,4
75,100,73,34,4,10,9,0,2
95,66,35,0,14,49,81,100,8
58,77,100,95,72,48,24,0,1
73,100,72,39,7,0,5,3,1
90,77,52,11,0,41,84,100,5
62,100,80,35,4,0,2,5,1
90,100,69,31,0,34,40,39,7
58,87,100,60,20,0,1,2,1
100,82,41,4,0,21,60,66,0
74,100,70,37,7,7,15,0,2
63,100,86,43,0,7,48,76,8
83,76,100,44,0,13,12,13,1
90,52,55,5,0,52,100,100,5
100,97,74,41,8,0,24,23,7
100,81,52,54,75,64,32,0,4
83,54,31,0,24,63,94,100,5
100,77,41,3,0,31,39,11,6
80,100,75,44,18,11,8,0,2
96,100,79,58,35,11,0,5,3
95,100,93,62,29,0,36,36,7
97,100,65,27,0,38,73,100,8
70,100,71,41,4,0,39,73,8
100,76,32,0,6,37,76,70,0
100,77,55,38,55,42,20,0,4
89,55,58,11,0,60,100,96,5
78,100,75,37,0,25,37,37,7
95,100,79,42,7,0,27,31,7
89,100,65,28,0,19,31,0,6
95,69,27,0,16,56,89,100,0
100,83,60,37,33,44,21,0,4
90,82,42,0,16,56,100,82,0
85,71,35,0,29,64,100,99,8
96,100,99,87,64,43,22,0,7
84,100,88,50,11,0,26,26,7
98,100,70,40,27,42,29,0,4
54,75,100,75,45,16,0,6,1
73,100,88,57,32,21,19,0,2
79,49,14,0,38,71,86,100,5
100,95,79,64,48,32,15,0,1
99,100,77,50,26,2,0,4,2
61,100,96,53,18,8,2,0,2
52,96,100,62,55,9,0,4,9
100,85,52,42,64,62,32,0,4
99,100,63,28,0,31,65,95,8
74,100,80,53,42,12,0,4,3
84,77,100,88,80,53,24,0,9
75,100,86,47,14,2,0,1,2
99,67,33,0,17,48,77,100,8
85,55,8,0,40,87,100,79,0
79,100,93,66,44,20,6,0,3
86,100,78,48,40,14,0,0,3
100,85,64,39,11,0,22,24,6
89,100,67,45,48,76,39,0,4
100,76,52,34,41,47,24,0,4
100,91,57,18,10,39,33,0,6
82,62,30,0,32,66,100,90,8
100,84,55,22,0,17,28,8,6
100,99,67,39,15,0,1,0,2
68,100,71,37,0,13,49,78,8
100,69,42,0,3,50,91,96,5
64,100,71,34,18,26,0,22,2
80,100,67,31,12,27,10,0,2
93,64,45,8,0,44,88,100,5
100,95,64,28,0,12,35,24,6
89,100,73,50,38,9,0,17,3
38,29,0,25,57,94,100,74,8
73,55,20,0,35,68,100,84,8
100,89,61,26,0,31,63,99,8
99,100,82,98,58,14,0,20,9
76,100,68,30,12,5,0,32,2
85,38,0,12,57,100,97,72,0
90,100,52,4,0,51,83,99,8
77,100,83,58,52,21,2,0,3
92,100,75,73,85,51,17,0,9
76,100,67,35,0,22,60,96,8
100,93,62,44,44,65,32,0,4
82,60,32,0,28,58,89,100,5
58,78,99,100,75,50,25,0,1
84,86,38,0,9,47,94,100,0
97,100,76,53,54,53,27,0,4
77,66,6,0,38,96,100,70,0
86,100,78,43,47,13,0,24,5
81,100,79,52,38,9,0,7,3
100,78,53,25,0,1,24,26,6
87,72,73,100,96,64,31,0,9
100,75,52,54,61,71,35,0,4
79,100,93,64,38,12,1,0,2
95,99,65,29,0,27,64,100,8
89,84,38,0,3,42,86,100,0
87,57,37,0,16,59,98,100,5
100,77,56,57,86,70,35,0,4
94,100,69,35,4,0,24,5,6
57,70,100,85,52,20,0,32,8
66,73,90,100,74,48,22,0,1
100,62,38,43,80,85,42,0,4
70,100,78,36,0,3,1,1,1
61,71,90,100,74,49,23,0,1
83,100,83,56,28,2,0,3,1
81,59,90,100,69,59,9,0,9
100,78,39,0,1,42,81,94,8
95,58,47,0,21,68,100,100,5
86,100,81,55,48,18,0,11,3
73,100,70,35,3,15,9,0,2
84,100,78,55,48,21,0,10,3
88,100,77,53,31,7,0,0,2
100,98,56,14,0,35,40,39,7
78,36,0,27,49,79,100,88,8
100,75,43,46,62,69,34,0,4
100,87,65,92,64,28,6,0,9
40,64,100,81,40,0,4,38,8
67,25,0,22,75,100,87,39,0
82,100,87,60,49,26,4,0,3
83,53,14,0,30,71,92,100,5
64,100,75,40,0,13,55,87,8
62,82,100,88,66,44,22,0,1
95,99,100,74,37,0,13,31,7
44,0,5,40,88,100,64,17,0
69,100,97,64,38,10,0,15,3
72,39,42,0,15,62,93,100,5
84,100,80,54,51,24,0,1,3
86,100,84,45,5,0,25,23,7
95,100,97,74,54,42,13,0,5
97,100,67,25,2,10,23,0,6
74,100,85,60,75,47,17,0,9
86,35,0,24,72,100,77,31,0
91,100,94,69,52,32,7,0,5
98,100,80,61,39,10,0,10,3
85,79,100,99,62,26,0,19,9
85,100,79,56,48,28,14,0,3
91,100,89,77,52,30,4,0,5
97,100,81,50,20,0,30,36,7
82,100,88,64,39,13,2,0,3
69,100,81,43,10,0,15,3,2
100,93,60,93,92,44,0,7,9
44,61,80,100,80,53,26,0,1
97,100,74,60,81,60,30,0,4
100,79,56,32,5,0,18,12,6
83,100,91,46,0,17,34,34,7
53,55,79,100,85,57,29,0,1
94,100,74,57,42,14,0,1,3
78,100,92,78,35,0,32,38,7
100,87,59,53,84,57,28,0,4
94,100,71,39,6,0,19,10,6
100,80,54,25,0,7,24,19,6
100,77,57,62,77,81,41,0,4
100,74,46,13,0,20,31,19,6
91,100,83,56,36,13,7,0,2
63,100,82,40,11,0,19,3,2
81,100,97,96,76,51,26,0,7
84,100,85,68,51,34,17,0,1
99,95,100,58,53,23,0,18,5
91,100,74,61,38,10,0,4,3
85,100,89,67,45,24,9,0,3
100,74,38,3,0,31,51,39,6
68,78,96,100,75,49,24,0,1
100,92,76,61,45,30,15,0,1
98,56,66,100,65,58,0,8,9
49,94,100,53,16,0,3,3,2
72,100,83,49,15,0,4,5,1
82,39,0,8,49,90,100,61,0
99,100,82,89,56,18,0,5,9
43,2,0,35,75,100,63,22,0
100,81,39,0,0,55,100,71,8
100,76,46,12,0,14,23,12,6
69,100,75,38,0,16,55,87,8
78,100,99,67,41,16,0,16,3
89,100,73,42,16,19,20,0,2
91,49,47,0,12,68,97,100,5
59,81,100,72,44,15,1,0,1
87,100,57,21,0,29,21,21,2
78,100,82,34,0,8,8,7,1
77,100,81,50,66,68,31,0,9
97,70,88,100,80,65,31,0,9
70,29,0,5,43,79,100,70,0
100,94,69,47,24,2,0,9,3
74,68,35,0,28,64,100,80,8
0,10,33,64,96,100,73,64,9
94,100,98,92,69,39,7,0,5
81,96,100,100,75,50,25,0,7
91,69,35,0,0,25,63,100,0
87,100,76,48,23,1,0,3,2
48,64,82,100,75,50,24,0,1
100,89,61,27,0,11,35,25,6
60,100,83,39,0,16,50,55,8
79,100,78,50,48,21,0,11,3
92,100,62,23,0,30,58,90,8
83,100,89,69,49,35,15,0,3
52,8,0,34,81,100,82,38,0
89,100,65,25,0,31,63,91,8
84,100,83,58,43,22,5,0,3
66,28,0,13,51,89,100,76,0
99,100,77,48,18,0,27,33,7
94,100,100,70,61,39,11,0,5
91,58,24,0,37,73,94,100,5
82,100,85,53,28,26,17,0,2
68,98,100,65,36,8,0,6,2
100,98,64,31,0,30,53,52,7
68,70,34,0,12,59,100,88,8
72,100,91,55,59,71,33,0,9
86,100,79,54,25,4,0,12,3
53,54,0,6,48,100,84,44,0
85,100,93,70,50,29,14,0,3
42,60,83,100,75,50,25,0,1
100,75,33,0,23,71,95,91,5
84,100,74,45,19,0,6,12,2
97,67,64,100,57,0,8,41,8
100,76,51,24,0,5,26,29,6
100,88,61,28,0,14,43,43,6
100,91,61,31,24,45,29,0,4
100,90,60,30,0,7,34,43,6
76,100,74,39,12,3,3,0,2
93,59,20,0,27,65,94,100,0
71,100,99,66,44,22,0,4,3
95,78,59,100,44,5,0,48,8
46,72,100,75,42,9,1,0,1
86,100,76,38,0,6,38,40,7
100,80,53,25,0,0,22,8,6
87,100,66,36,12,1,1,0,2
81,100,76,52,28,21,23,0,4
91,55,17,0,51,98,100,97,5
79,100,93,58,29,5,0,2,2
96,83,66,30,0,30,68,100,8
34,52,76,100,79,53,27,0,1
100,78,38,0,33,77,97,100,5
100,99,100,78,57,31,0,17,5
100,69,36,0,20,73,91,92,5
100,100,88,56,24,0,31,46,7
78,100,99,63,26,0,0,3,1
70,100,66,26,0,2,3,6,1
89,100,93,71,47,22,6,0,3
100,78,82,78,51,22,0,7,9
90,100,72,42,17,4,2,0,2
91,100,75,55,43,16,0,6,3
89,100,91,62,31,0,29,38,7
69,100,75,39,0,21,58,90,8
85,55,17,0,23,58,92,100,0
96,70,24,0,41,77,100,78,8
76,85,100,81,61,40,20,0,1
94,100,94,76,64,41,9,0,5
94,63,46,0,8,57,100,99,5
77,100,76,43,15,1,0,4,2
97,100,74,41,11,0,22,24,6
69,100,75,39,15,15,14,0,2
