@relation input_channel_0

@attribute channel_0_0 numeric
@attribute channel_0_1 numeric
@attribute channel_0_2 numeric
@attribute channel_0_3 numeric
@attribute channel_0_4 numeric
@attribute channel_0_5 numeric
@attribute channel_0_6 numeric
@attribute channel_0_7 numeric
@attribute class {0,1,2,3,4,5,6,7,8,9}

@data
100,58,31,17,43,80,50,0,6
94,40,13,59,67,0,45,100,8
0,75,100,22,22,92,84,2,8
80,36,58,65,82,100,53,0,9
35,0,11,65,100,97,49,9,0
34,21,0,43,91,100,74,67,4
0,31,67,100,94,80,68,56,1
90,100,25,10,80,99,64,0,9
0,42,67,53,34,16,40,100,7
38,4,0,41,84,100,77,32,0
72,38,2,0,51,100,55,12,6
26,69,92,56,90,100,51,0,3
8,47,100,71,100,99,46,0,3
31,55,55,33,0,30,65,100,2
46,21,0,24,68,100,76,58,4
41,76,73,57,46,0,50,100,1
32,12,0,1,39,100,64,18,6
16,9,50,23,5,0,48,100,5
21,0,88,88,15,8,12,100,5
0,54,91,71,62,74,100,42,7
47,1,0,53,100,95,42,7,0
38,8,0,42,87,100,61,16,0
95,50,21,74,100,69,37,0,9
18,2,40,2,0,20,45,100,5
39,23,0,1,48,100,70,6,6
22,1,0,50,100,82,77,71,4
3,53,81,83,72,100,51,0,7
0,38,62,72,77,79,83,100,1
19,0,12,54,88,100,72,31,0
0,38,80,100,80,65,55,55,1
40,16,96,70,0,65,100,94,9
100,63,28,0,4,60,78,24,6
33,19,78,91,51,0,37,100,2
14,9,28,74,100,86,43,0,0
20,62,71,45,98,100,53,0,3
9,0,20,61,100,93,54,9,0
42,60,89,13,0,77,100,18,8
4,12,52,92,100,72,28,0,0
38,90,94,59,68,100,54,0,3
22,10,0,46,89,100,68,29,0
27,0,12,62,100,97,48,18,0
43,15,52,20,5,0,42,100,5
0,37,19,5,88,100,84,88,4
73,35,0,0,71,100,29,9,6
15,0,30,81,100,87,44,16,0
85,30,5,0,48,100,66,0,6
0,24,76,43,29,84,100,8,8
50,72,100,42,93,89,70,0,9
42,9,0,48,100,89,46,19,4
7,0,51,39,9,5,42,100,5
100,92,49,18,0,38,75,29,6
44,67,80,47,5,0,50,100,2
37,48,74,27,80,100,49,0,9
100,40,63,84,0,53,80,3,8
45,0,75,89,19,15,26,100,5
45,10,7,56,100,91,38,0,0
13,15,42,86,100,84,33,0,0
49,8,0,51,93,100,61,8,0
16,0,5,41,93,100,91,89,4
22,0,50,100,67,43,28,30,7
52,72,87,57,100,90,43,0,3
96,52,48,96,100,71,39,0,9
29,56,68,45,11,0,50,100,2
14,4,43,36,10,0,47,100,5
53,32,98,69,58,100,71,0,9
68,24,0,13,60,99,100,55,0
100,60,29,10,6,46,46,0,6
100,58,10,0,48,100,97,45,0
84,59,16,0,20,100,94,4,6
100,53,25,11,38,99,65,0,6
0,30,59,86,100,80,62,53,1
67,30,0,41,100,98,66,40,4
73,31,0,52,100,82,81,38,0
28,0,30,80,100,70,22,7,0
86,48,13,0,45,100,76,6,6
40,61,78,46,0,1,61,100,2
100,69,20,70,93,70,38,0,9
30,16,53,46,13,0,27,100,5
2,46,100,77,94,94,41,0,3
0,34,64,95,100,81,62,45,1
19,4,0,46,100,96,87,77,4
3,16,27,14,0,33,67,100,2
47,40,18,0,53,92,94,100,4
29,61,92,100,73,49,25,0,1
0,41,79,100,85,75,71,82,1
0,52,97,91,84,21,21,100,1
65,24,0,9,61,100,58,2,6
88,12,100,100,65,29,6,0,1
13,53,100,23,0,81,74,47,9
0,51,100,51,22,51,73,9,8
72,38,13,0,40,88,100,84,4
0,67,86,56,34,6,32,100,7
37,69,96,55,88,100,51,0,3
0,73,95,100,95,82,64,23,1
0,77,100,17,7,82,45,20,9
2,31,76,62,47,100,68,0,7
13,0,28,94,100,93,94,91,4
21,40,85,67,100,95,47,0,3
48,15,0,23,71,100,86,44,0
24,100,93,64,39,19,0,72,7
45,93,100,48,7,48,48,0,5
54,0,54,70,5,54,100,7,8
46,87,100,75,90,100,49,0,3
84,46,13,0,53,100,33,10,6
26,19,64,20,1,0,45,100,5
39,78,79,57,38,0,34,100,1
14,1,51,36,0,6,42,100,5
0,43,93,100,71,48,26,5,1
0,53,64,62,70,83,100,98,1
0,16,64,85,85,89,95,100,1
88,45,78,90,100,93,59,0,9
30,16,0,28,80,100,79,68,4
24,14,72,54,8,0,35,100,5
0,18,59,100,86,66,52,47,7
0,46,85,91,88,99,100,50,7
21,85,90,67,49,0,27,100,7
31,5,0,32,77,100,82,37,0
19,54,100,99,86,78,43,0,3
98,52,18,0,25,100,97,23,6
79,21,15,71,100,73,36,0,9
100,59,26,2,1,58,58,0,6
19,35,95,0,60,100,67,26,9
16,0,31,78,100,87,40,6,0
83,44,0,58,100,89,77,75,9
0,43,58,41,26,8,54,100,7
0,63,90,100,100,92,84,71,1
30,4,0,30,66,95,100,64,0
100,71,42,49,91,82,42,0,5
47,19,0,20,68,100,91,50,0
100,64,26,36,76,75,42,0,5
29,59,100,90,74,66,0,99,1
89,38,17,80,100,92,61,0,9
67,36,0,5,66,100,73,56,4
53,23,0,74,100,70,44,16,4
27,0,40,100,84,57,43,33,4
2,36,54,9,0,5,49,100,5
48,94,100,75,41,0,41,94,2
100,68,38,14,0,36,51,3,6
58,0,44,100,63,62,87,25,8
0,22,59,72,53,31,58,100,2
0,29,71,100,82,68,57,58,1
0,28,61,92,100,86,73,64,1
36,86,87,47,92,100,53,0,3
78,65,100,49,15,58,66,0,8
69,31,39,89,100,63,31,0,4
0,55,100,74,49,20,32,99,7
100,92,75,58,58,33,8,0,1
47,37,65,21,9,0,49,100,5
0,45,100,79,60,45,36,33,7
12,29,66,29,5,0,38,100,5
84,20,22,44,0,54,100,27,8
39,21,35,12,0,16,51,100,5
52,29,0,19,69,100,90,88,4
78,40,16,5,53,100,36,0,6
0,47,89,74,45,15,43,100,2
44,80,100,72,92,93,49,0,3
80,60,26,0,46,97,100,100,4
51,0,5,92,100,85,68,86,4
95,77,21,60,68,0,29,100,8
91,66,31,15,50,100,67,0,6
34,52,58,37,0,24,61,100,2
38,15,42,25,0,8,40,100,5
27,22,58,18,0,13,50,100,5
100,52,20,6,45,99,59,0,6
0,40,60,58,41,20,54,100,7
0,25,52,44,32,0,50,100,7
0,30,65,100,84,65,47,34,1
0,50,100,74,55,42,20,68,7
14,40,59,58,59,100,48,0,1
46,80,81,77,100,75,36,0,3
0,38,62,38,8,45,100,58,8
92,32,0,51,100,96,64,21,9
34,0,7,62,100,95,49,0,0
52,84,100,58,91,89,44,0,3
33,8,0,35,78,100,94,48,0
0,45,74,57,35,25,53,100,7
100,95,24,38,69,0,45,96,8
9,25,59,42,0,5,53,100,2
65,81,100,40,71,93,65,0,9
77,53,0,13,86,100,73,10,0
0,38,71,94,100,63,44,73,9
49,100,65,0,12,90,95,86,9
0,0,48,100,97,72,45,33,1
73,43,0,25,100,90,63,54,4
100,71,30,1,32,82,54,0,6
0,40,80,43,54,100,63,3,3
0,28,69,79,59,28,57,100,2
100,68,37,13,11,51,41,0,6
22,0,4,55,100,84,34,21,0
100,14,74,79,37,0,36,39,8
67,19,0,34,79,100,58,10,0
86,0,32,100,30,5,80,52,8
76,34,0,55,100,77,38,3,9
34,66,83,52,100,91,43,0,3
0,73,100,20,37,92,85,7,8
100,64,37,20,11,22,35,0,6
85,56,42,55,100,95,46,0,6
28,57,93,71,33,0,49,100,2
31,5,4,57,100,100,56,0,0
62,95,69,4,0,74,100,94,9
0,41,87,100,80,68,59,60,7
38,5,0,53,98,100,47,20,0
56,28,90,24,22,100,72,0,8
76,0,16,81,69,6,34,100,8
3,4,0,15,60,100,91,88,4
70,46,12,0,52,100,96,90,4
65,25,0,11,60,100,50,9,6
100,50,16,0,26,80,81,29,6
13,8,0,8,57,100,82,69,4
10,2,24,74,100,82,33,0,0
28,63,100,75,56,35,0,25,1
41,47,84,71,42,0,49,100,2
0,30,74,82,75,39,44,100,7
33,23,87,97,79,100,44,0,3
45,1,0,69,100,73,80,90,4
100,66,63,85,78,66,35,0,9
100,62,36,23,42,81,43,0,6
100,56,22,18,53,68,37,0,5
36,33,64,43,0,6,57,100,2
100,59,25,0,16,79,70,7,6
0,52,100,83,67,45,3,84,7
92,61,31,10,21,100,69,0,6
93,40,15,23,72,100,57,0,5
23,52,100,79,63,82,49,0,3
28,43,76,49,11,0,50,100,2
100,63,20,13,70,89,46,0,5
100,54,17,0,16,66,66,22,6
74,30,0,55,100,77,52,35,4
39,72,100,71,95,95,50,0,3
41,60,100,70,33,72,54,0,8
0,34,67,60,31,26,64,100,2
29,23,73,51,0,12,42,100,5
11,52,100,83,72,87,45,0,3
54,100,99,49,23,63,50,0,5
0,46,100,82,48,17,18,74,7
47,19,0,19,61,100,82,62,4
13,45,97,69,76,100,49,0,3
100,55,26,40,78,74,43,0,5
0,29,63,100,90,88,84,80,1
0,28,73,100,85,58,36,79,2
100,66,30,24,54,61,38,0,5
92,50,0,47,87,42,54,100,8
9,60,80,6,36,100,57,0,8
42,34,0,2,62,100,92,87,4
0,40,97,69,44,100,35,22,8
43,98,77,37,60,100,47,0,5
100,46,0,36,78,80,78,88,9
33,66,91,64,100,82,41,0,3
10,0,33,80,100,64,22,32,0
0,32,76,70,38,11,50,100,2
0,40,76,65,32,5,42,100,7
21,13,54,27,38,40,0,100,1
0,46,50,50,52,4,12,100,1
36,0,53,100,83,66,53,51,1
10,24,0,0,69,100,80,70,4
0,41,73,64,49,40,49,100,7
0,41,89,100,84,64,27,54,7
55,22,66,39,52,100,69,0,8
0,37,76,100,75,53,35,28,1
45,19,42,58,89,100,55,0,9
27,2,12,62,100,94,46,0,0
100,66,25,0,14,77,72,10,6
38,58,21,0,44,100,45,22,6
24,100,30,88,34,0,61,77,8
37,57,47,22,0,33,66,100,2
5,50,79,54,85,100,56,0,3
93,5,42,85,58,0,36,100,8
0,28,64,43,9,23,62,100,2
43,8,73,62,0,7,20,100,5
22,62,92,51,55,100,55,0,3
100,44,7,0,46,99,41,19,6
0,37,81,65,100,97,54,14,3
0,24,65,61,40,6,51,100,2
0,35,59,61,46,22,56,100,2
100,57,25,12,30,88,65,0,6
5,19,25,14,0,34,66,100,2
50,17,0,21,70,100,91,63,0
86,47,18,65,66,0,46,100,8
38,49,74,24,91,100,54,0,9
0,65,70,51,32,15,29,100,7
0,10,67,47,14,17,34,100,5
73,49,0,56,100,88,65,49,4
40,61,87,53,96,100,55,0,3
0,45,100,84,71,58,55,63,1
44,0,47,100,84,75,75,100,1
100,75,43,20,31,77,48,0,6
100,56,31,87,98,94,61,0,9
0,5,47,86,100,76,34,6,0
19,62,100,83,47,0,18,72,2
11,0,38,79,100,76,37,0,0
32,70,100,66,7,0,59,91,2
86,48,14,19,2,0,49,100,8
24,0,7,61,100,80,29,7,0
13,40,65,41,0,2,51,100,2
100,51,18,0,17,78,68,8,6
80,32,7,0,40,100,88,28,6
0,4,42,79,100,81,65,66,1
0,47,75,52,22,16,41,100,7
97,77,8,0,69,100,92,86,9
40,62,62,34,0,12,57,100,2
25,45,77,57,9,0,53,100,2
15,8,0,19,78,100,76,72,4
21,12,64,52,10,0,43,100,5
17,56,100,64,85,94,48,0,3
39,0,22,100,62,62,59,60,4
0,26,51,43,24,12,57,100,2
30,70,69,39,0,7,52,100,2
100,26,1,45,29,0,38,87,8
21,8,61,39,0,11,35,100,5
17,0,26,73,100,88,44,23,0
73,0,16,84,70,45,100,88,8
18,53,90,43,90,100,52,0,3
9,1,27,76,100,84,37,0,0
0,67,83,57,41,0,29,100,7
35,76,80,67,100,77,35,0,3
33,10,0,4,43,100,81,21,6
10,40,100,70,29,0,7,70,7
54,77,64,36,0,12,56,100,2
0,35,68,100,94,80,70,70,1
89,56,0,44,100,82,52,20,4
7,0,15,62,100,96,53,8,0
0,4,59,100,96,75,51,40,7
0,50,100,54,32,69,70,31,7
51,21,2,0,45,100,51,4,6
63,30,0,12,67,100,88,34,0
0,11,56,53,66,100,73,16,3
100,56,23,77,65,0,55,73,8
100,54,21,0,23,75,57,3,6
100,62,30,7,0,36,59,17,6
23,0,10,53,91,100,75,31,0
39,74,83,11,50,100,73,0,8
37,78,94,60,10,0,55,100,2
22,47,74,47,84,100,54,0,3
12,62,92,54,81,100,62,0,3
79,0,9,89,100,79,60,57,9
0,10,51,48,18,20,49,100,5
0,39,74,100,78,53,28,11,1
89,38,0,2,61,100,100,45,0
64,76,13,39,100,98,65,0,9
76,34,7,0,47,100,78,21,6
35,54,58,54,78,100,36,0,1
84,37,7,0,35,100,85,23,6
44,70,93,59,93,100,53,0,3
0,48,100,90,58,33,40,92,7
72,49,61,82,0,25,100,75,8
0,62,74,69,72,79,51,100,1
23,31,64,54,28,0,50,100,2
100,83,26,0,16,69,87,34,5
22,89,98,32,68,100,81,0,9
29,52,63,39,0,18,59,100,2
12,47,100,97,52,74,52,0,3
9,0,7,62,100,86,68,55,4
0,45,100,97,77,60,52,55,7
0,39,67,50,24,17,52,100,7
31,12,71,31,21,100,69,0,8
54,28,5,0,66,100,82,69,4
12,41,84,54,88,100,50,0,3
29,97,100,0,2,100,44,7,9
0,40,78,59,32,28,47,100,7
64,34,100,94,0,38,90,76,8
100,50,12,6,37,78,50,0,5
7,0,16,51,84,100,84,50,0
49,50,100,81,82,87,38,0,3
6,0,38,90,100,67,18,16,0
77,77,10,15,40,0,32,100,8
38,18,0,36,95,100,83,85,4
0,51,100,72,56,41,24,81,7
99,61,37,41,99,100,47,0,6
33,0,28,55,1,10,44,100,5
4,0,37,33,5,4,52,100,2
0,31,68,100,94,74,51,64,2
48,39,0,89,100,77,71,63,4
84,39,0,9,60,100,89,36,0
26,64,81,73,100,81,41,0,3
31,6,14,64,100,96,49,0,0
0,25,58,51,38,15,43,100,7
42,67,78,71,100,85,41,0,3
15,57,82,60,100,86,44,0,3
15,0,33,95,100,83,87,97,4
58,100,87,52,59,85,47,0,5
32,100,55,0,7,73,78,11,5
0,44,84,100,93,90,88,41,7
0,50,100,90,66,49,23,76,7
0,17,8,24,70,100,87,100,4
66,100,81,50,47,54,26,0,5
44,9,0,41,82,100,63,17,0
72,36,39,82,100,70,37,0,9
0,37,82,100,86,70,55,49,1
35,100,44,0,27,85,76,21,5
32,57,76,56,21,0,51,100,2
100,81,39,0,8,75,66,12,6
15,47,88,52,75,100,50,0,3
0,47,100,91,65,47,42,63,1
51,86,70,43,8,0,49,100,2
41,77,100,59,28,54,39,0,5
80,31,63,100,83,81,56,0,9
100,76,57,99,92,67,38,0,9
33,48,100,74,44,77,39,0,8
86,72,32,55,42,0,48,100,8
31,4,0,66,100,66,36,14,4
0,32,75,64,49,82,100,54,7
100,87,49,16,6,52,48,0,6
100,78,37,83,91,97,51,0,9
35,41,81,100,81,40,9,0,0
64,32,16,16,58,100,49,0,6
100,55,0,23,84,94,74,35,9
100,45,0,22,80,99,85,40,9
0,31,100,94,63,22,8,95,7
100,59,26,0,33,97,81,9,6
100,58,16,0,40,93,95,53,0
45,39,82,64,25,0,50,100,2
27,0,4,63,100,73,12,0,0
40,54,91,69,34,0,49,100,2
44,100,91,35,33,73,54,0,5
100,66,38,15,0,26,55,11,6
0,51,100,76,60,46,3,94,7
93,52,19,12,60,100,44,0,6
8,58,100,73,12,0,3,90,5
23,0,2,52,91,100,70,14,0
20,0,18,50,86,100,79,45,0
13,0,39,82,100,89,47,26,0
68,89,52,0,6,72,100,89,9
29,31,61,50,0,17,41,100,5
41,99,100,58,28,7,0,80,7
100,50,0,76,99,89,80,72,4
22,34,90,65,72,100,58,0,3
0,8,40,28,7,13,56,100,2
0,36,62,54,47,12,30,100,1
0,48,100,95,76,67,57,71,1
0,9,80,80,24,2,25,100,5
0,9,68,74,49,6,30,100,2
0,46,100,87,56,74,56,8,3
53,44,22,0,32,66,100,61,8
100,68,34,19,53,61,31,0,5
0,50,84,24,29,100,84,9,8
0,51,91,81,68,55,46,100,7
43,3,0,43,88,100,62,14,0
0,54,100,82,48,11,19,76,7
14,0,58,77,27,14,36,100,5
34,9,61,67,0,3,20,100,5
45,77,58,0,48,100,84,26,8
29,29,100,85,59,38,15,0,1
6,0,32,100,99,72,60,43,4
68,50,15,0,54,100,91,87,4
99,58,0,47,100,39,47,100,8
0,37,95,87,55,18,32,100,2
100,54,9,0,43,72,41,13,5
0,36,82,87,70,31,45,100,7
32,87,100,84,79,66,0,3,1
29,3,0,60,100,90,81,75,4
0,36,63,47,14,4,52,100,2
13,17,83,77,0,42,100,34,8
8,56,100,88,60,36,12,0,1
15,42,32,27,44,100,52,0,1
27,0,64,72,8,7,29,100,5
0,21,27,26,4,12,55,100,1
0,47,65,48,37,14,49,100,7
24,84,100,89,85,45,0,94,1
45,12,0,17,62,100,96,54,0
26,54,70,49,18,0,49,100,2
38,74,11,34,67,0,27,100,8
43,42,52,46,36,0,50,100,1
21,3,77,62,0,6,14,100,5
5,93,100,65,37,5,0,89,7
8,0,9,81,100,86,87,90,4
12,8,56,22,4,0,37,100,5
68,23,0,7,64,100,56,14,6
26,57,72,54,24,0,50,100,2
52,84,100,73,84,90,47,0,3
0,43,100,64,33,1,1,72,7
100,40,0,35,39,40,87,87,8
76,32,10,85,100,4,0,54,8
36,3,0,27,70,100,91,49,0
8,0,0,29,71,71,71,100,4
17,0,65,69,11,10,31,100,5
0,39,82,68,54,6,35,100,7
0,54,93,81,60,36,44,100,7
55,32,5,0,43,100,51,16,6
33,4,0,39,88,100,69,17,0
19,3,0,8,92,81,70,100,4
81,29,0,10,70,100,96,47,0
59,25,88,79,7,62,100,0,8
0,10,59,100,93,69,44,25,7
0,46,96,94,83,62,45,100,7
0,20,19,11,43,89,94,100,4
0,49,96,91,69,51,27,100,1
44,66,100,74,33,0,53,99,2
31,55,70,32,14,0,49,100,5
0,82,100,100,91,82,55,55,1
0,50,77,59,29,0,48,100,2
9,16,58,41,7,0,49,100,2
84,98,64,73,100,83,42,0,9
65,20,0,59,100,79,38,7,4
78,0,17,57,47,7,45,100,8
19,43,70,53,100,98,50,0,3
27,65,71,0,78,100,60,5,9
43,61,94,75,43,0,49,100,2
14,16,67,74,0,44,100,39,8
38,13,31,75,100,85,42,0,0
45,57,100,86,70,87,46,0,3
10,51,84,53,85,100,52,0,3
100,65,33,10,0,35,54,10,6
50,52,0,23,96,100,60,38,4
42,22,0,26,82,100,74,57,4
100,35,0,1,67,96,27,16,6
0,37,83,65,46,81,100,23,8
100,63,32,13,43,81,36,0,6
19,55,58,30,0,21,60,100,2
57,52,4,48,63,0,27,100,8
45,14,61,46,0,15,42,100,5
33,36,59,44,0,32,71,100,2
8,40,61,38,0,21,61,100,2
44,9,82,63,0,13,28,100,5
100,51,16,0,36,98,68,6,6
29,84,80,36,94,100,41,0,3
16,67,43,22,66,100,50,0,8
35,77,100,39,37,79,86,0,8
75,0,70,100,32,7,63,95,8
62,19,55,71,99,100,49,0,9
26,23,52,43,0,49,97,100,2
35,22,45,87,100,81,37,0,0
86,28,0,46,26,25,100,73,8
62,76,95,56,95,100,55,0,3
100,62,21,51,87,63,36,0,9
62,23,0,67,89,22,56,100,8
27,34,0,25,100,91,68,51,4
21,36,82,82,37,0,34,100,5
0,42,90,100,87,78,76,84,1
36,9,0,27,72,100,88,46,0
18,35,0,0,64,100,75,66,4
48,19,0,49,93,100,48,0,0
100,63,20,22,76,90,36,0,5
19,53,68,49,95,100,50,0,3
66,33,11,0,20,77,100,41,6
85,48,0,34,82,89,87,100,9
73,39,0,43,92,100,84,72,4
0,19,60,59,41,19,54,100,2
100,38,35,70,32,0,36,65,8
34,14,0,24,75,100,82,34,0
13,0,60,42,12,14,30,100,5
100,24,0,96,100,79,37,4,4
57,39,11,0,23,97,100,41,6
3,83,100,6,20,71,0,37,8
0,37,73,100,98,96,90,87,1
31,0,37,100,88,66,62,51,4
14,46,48,41,21,0,50,100,1
0,24,62,100,86,68,51,41,1
55,100,93,82,84,71,0,73,1
16,40,100,30,48,95,75,0,9
82,35,97,94,0,39,100,40,8
8,8,61,54,20,0,37,100,5
9,53,96,64,93,100,51,0,3
20,47,62,41,11,0,49,100,2
0,39,79,39,67,100,62,15,3
14,49,65,34,0,1,50,100,2
19,61,62,50,29,0,50,100,7
19,29,13,8,58,100,55,0,8
17,3,0,60,100,94,92,92,4
100,61,70,93,89,74,41,0,9
55,100,92,48,45,55,0,11,8
0,14,57,100,95,54,7,4,0
20,35,73,42,72,100,57,0,3
38,40,55,11,0,10,52,100,5
73,54,0,60,91,13,46,100,8
0,34,84,100,89,79,76,84,1
0,37,77,100,98,95,70,77,7
0,15,62,95,100,60,27,11,0
0,29,77,39,61,100,47,2,3
15,0,57,43,16,11,36,100,5
13,66,90,52,75,100,60,0,3
0,26,70,77,68,54,50,100,7
28,100,51,0,16,86,71,1,5
82,35,0,0,45,100,61,14,6
98,82,6,10,87,100,69,0,9
19,18,57,100,92,47,0,1,0
55,100,64,27,53,84,48,0,5
22,71,100,59,99,95,47,0,3
100,48,18,57,64,69,43,0,9
59,84,82,60,100,74,37,0,3
66,100,90,53,29,58,38,0,5
0,61,100,88,69,51,30,90,7
57,65,100,89,79,75,39,0,3
39,55,96,80,45,0,44,100,2
7,74,38,0,70,100,67,4,9
0,30,67,100,96,83,68,62,1
56,42,0,52,100,74,50,33,4
100,65,39,17,8,49,47,0,6
0,35,71,63,57,40,60,100,7
0,8,46,89,100,78,56,47,1
58,84,82,46,92,100,52,0,3
16,0,76,100,77,74,98,27,7
49,5,15,92,100,69,35,0,4
100,63,30,8,6,57,54,0,6
100,49,15,0,26,86,62,0,6
35,1,0,86,100,48,22,6,4
94,56,27,15,61,100,49,0,6
0,34,65,43,12,25,63,100,2
40,60,100,85,44,0,45,93,2
0,11,55,100,86,66,48,38,7
100,27,0,0,13,20,27,60,1
38,90,29,10,60,100,49,0,5
50,78,85,71,100,81,41,0,3
25,59,86,86,100,88,49,0,3
64,21,0,17,72,100,59,6,6
0,38,91,100,78,62,59,81,1
100,100,80,65,50,40,15,0,1
60,34,99,74,58,100,66,0,9
42,34,81,85,48,0,45,100,2
60,89,73,62,44,0,47,100,1
17,3,30,81,100,74,24,0,0
48,9,44,64,92,100,55,0,9
6,16,68,100,81,38,7,0,0
79,14,49,100,32,52,71,0,8
89,48,18,8,55,100,51,0,6
85,47,0,44,72,16,57,100,8
0,36,79,85,70,100,63,24,3
10,30,49,29,0,20,64,100,2
1,11,72,53,13,0,36,100,5
15,57,100,79,65,53,0,21,1
26,64,66,39,0,15,57,100,2
36,75,77,61,39,0,50,100,1
100,57,0,20,79,86,81,84,9
25,37,100,27,0,76,75,29,9
0,1,37,88,100,78,34,5,0
66,100,91,69,95,74,36,0,3
45,23,92,77,45,100,95,0,8
0,42,79,100,89,40,22,67,9
39,100,99,36,50,93,61,0,5
0,7,58,100,89,77,67,56,7
70,25,0,6,58,97,100,85,0
26,67,80,61,33,0,48,100,2
0,35,66,100,94,85,84,93,1
100,54,18,0,29,83,61,7,6
56,65,100,81,51,85,56,0,8
25,35,78,50,68,100,59,0,3
64,3,25,44,0,1,55,100,8
0,32,75,39,49,100,70,21,3
26,16,63,100,99,54,6,0,0
98,48,29,58,6,0,53,100,8
20,60,93,60,73,100,54,0,3
19,3,34,77,100,78,34,0,0
0,71,100,72,53,40,0,66,7
29,90,43,8,56,100,61,0,5
19,22,50,25,4,0,44,100,5
30,52,100,81,38,0,56,97,2
4,28,75,64,31,0,43,100,2
42,93,79,51,15,0,25,100,7
47,0,53,85,22,53,100,46,8
78,81,8,0,69,100,74,58,9
62,87,100,85,85,64,29,0,3
48,10,0,49,88,100,48,7,0
5,47,95,55,78,100,49,0,3
0,10,68,100,77,61,48,35,1
66,45,71,46,0,6,45,100,5
29,65,87,69,38,0,49,100,2
48,9,100,66,24,0,87,15,8
91,48,17,0,28,100,78,0,6
100,55,20,0,19,66,62,17,6
9,10,0,0,55,90,88,100,4
100,57,32,15,26,89,70,0,6
30,53,82,66,31,0,50,100,2
31,7,8,54,98,100,60,0,0
19,55,100,73,55,97,55,0,3
100,0,93,81,62,2,96,48,8
0,52,100,84,71,64,2,32,1
0,46,100,81,58,53,8,83,7
66,25,4,0,26,94,100,45,6
21,61,71,38,0,15,60,100,2
0,15,20,19,24,71,88,100,4
14,7,36,4,0,4,52,100,5
0,32,69,54,25,4,52,100,2
61,0,61,100,49,5,39,42,8
0,25,62,100,81,57,37,25,1
26,38,66,45,15,0,34,100,5
30,90,81,32,52,100,58,0,5
17,17,60,30,0,0,41,100,5
0,53,100,84,61,42,18,56,7
31,71,73,56,50,21,0,100,1
55,73,62,49,30,0,50,100,1
32,67,100,79,66,68,40,0,3
30,0,56,44,75,100,72,15,9
0,31,46,27,2,29,64,100,2
25,61,74,44,94,100,53,0,3
33,92,100,63,29,0,6,66,7
47,42,6,54,47,0,42,100,8
20,3,0,38,79,100,83,35,0
73,50,38,0,29,70,100,46,8
0,53,100,76,60,44,27,5,1
28,96,83,22,50,100,66,0,5
13,10,73,65,0,3,31,100,5
61,78,94,77,47,0,47,100,2
99,47,8,0,28,85,100,38,6
33,57,87,66,24,0,51,100,2
